gene	control	bpa_at_50	bpa_at_5000
ENSMUSG00000071653	10.0213333333333	10.1986666666667	9.98233333333333
ENSMUSG00000032221	6.219	6.07766666666667	6.1995
ENSMUSG00000080875	5.32358333333333	5.36833333333333	5.378125
ENSMUSG00000025958	2.18798148148148	2.18183333333333	2.15068518518519
ENSMUSG00000044018	5.047	5.123625	5.04116666666667
ENSMUSG00000096472	8.42566666666667	8.20633333333333	8.27316666666667
ENSMUSG00000039376	6.7905	6.72066666666667	6.624
ENSMUSG00000029601	8.3135	8.34733333333333	8.576
ENSMUSG00000063796	6.67383333333333	6.55883333333333	6.68816666666667
ENSMUSG00000052512	2.15055555555556	2.05414814814815	2.1427962962963
ENSMUSG00000003555	7.42066666666667	7.43116666666667	7.5215
ENSMUSG00000024695	2.10941666666667	2.12971875	2.09552083333333
ENSMUSG00000002588	15.306	15.144	15.268
ENSMUSG00000090369	6.71933333333333	6.68066666666667	6.67233333333333
ENSMUSG00000107853	9.03533333333333	9.11883333333333	9.13916666666667
ENSMUSG00000028990	8.15983333333333	8.176	7.94166666666667
ENSMUSG00000050926	10.0501666666667	10.2931666666667	10.4616666666667
ENSMUSG00000024856	10.9975	11.3478333333333	11.0133333333333
ENSMUSG00000031392	3.49074074074074	3.54081481481481	3.51242592592593
ENSMUSG00000044206	9.13066666666667	9.48583333333333	9.58916666666667
ENSMUSG00000034880	11.5663333333333	11.6246666666667	11.482
ENSMUSG00000024889	4.77	4.76875	4.76533333333333
ENSMUSG00000043090	3.65375	3.67629166666667	3.70541666666667
ENSMUSG00000084350	3.38320833333333	3.38495833333333	3.44304166666667
ENSMUSG00000022195	2.14266666666667	2.16214814814815	2.16442592592593
ENSMUSG00000031107	5.89666666666667	5.9035	5.87333333333333
ENSMUSG00000021027	3.44975	3.48770833333333	3.44870833333333
ENSMUSG00000028452	6.50025	6.51116666666667	6.51545833333333
ENSMUSG00000055093	14.3766666666667	14.3055	14.422
ENSMUSG00000030649	3.69508333333333	3.67166666666667	3.69829166666667
ENSMUSG00000066877	3.282625	3.25704166666667	3.24858333333333
ENSMUSG00000063236	10.9741666666667	10.8968333333333	11.0405
ENSMUSG00000091449	13.9825	13.8285	13.7666666666667
ENSMUSG00000084957	3.67070833333333	3.692375	3.69254166666667
ENSMUSG00000056124	4.927625	4.906125	4.912875
ENSMUSG00000038888	7.6295	7.46433333333333	7.46983333333333
ENSMUSG00000034981	5.95433333333333	5.97916666666667	5.9515
ENSMUSG00000031095	10.8265	10.8926666666667	10.6993333333333
ENSMUSG00000024791	6.47166666666667	6.5105	6.20716666666667
ENSMUSG00000032068	7.92183333333333	8.63116666666667	7.87766666666667
ENSMUSG00000031529	3.49620833333333	3.53891666666667	3.53420833333333
ENSMUSG00000024851	9.6795	9.57316666666667	9.59766666666667
ENSMUSG00000061898	3.27808333333333	3.26495833333333	3.267375
ENSMUSG00000030814	2.16978125	2.1901875	2.15896875
ENSMUSG00000036769	7.18	7.22033333333333	7.0975
ENSMUSG00000021466	5.79	5.77066666666667	5.66633333333333
ENSMUSG00000029762	9.71783333333333	9.25816666666667	9.43866666666667
ENSMUSG00000049988	6.03333333333333	6.09816666666667	6.288
ENSMUSG00000070605	5.972	6.002	6.17733333333333
ENSMUSG00000021745	3.98766666666667	4.08358333333333	4.065875
ENSMUSG00000028619	2.53301851851852	2.53755555555556	2.54694444444444
ENSMUSG00000078179	6.5275	6.33933333333333	6.44333333333333
ENSMUSG00000042340	9.258	9.36883333333333	9.31483333333333
ENSMUSG00000007817	3.369625	3.380125	3.31808333333333
ENSMUSG00000019132	3.02455555555556	3.05524074074074	3.05303703703704
ENSMUSG00000099908	2.14901851851852	2.12344444444444	2.11996296296296
ENSMUSG00000022702	2.14901851851852	2.12344444444444	2.11996296296296
ENSMUSG00000039081	6.47933333333333	6.47583333333333	6.5935
ENSMUSG00000042302	9.188	9.0465	8.80583333333333
ENSMUSG00000034135	2.37960416666667	2.34060416666667	2.33064583333333
ENSMUSG00000031527	2.51992592592593	2.547	2.4772962962963
ENSMUSG00000032065	3.50233333333333	3.479125	3.44491666666667
ENSMUSG00000064127	3.80408333333333	3.806625	3.79179166666667
ENSMUSG00000035235	7.389	7.7115	7.63416666666667
ENSMUSG00000025133	3.386625	3.42725	3.40345833333333
